S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
1,New South Wales,10050,Albury,17385,61.92121385,17868,60.69087327,35253,61.29144427
1,New South Wales,10180,Armidale,9227,64.18782609,9656,63.44700703,18883,63.80685274
1,New South Wales,10250,Ballina,13122,57.08443903,13806,56.83352544,26928,56.95551936
1,New South Wales,10300,Balranald,712,61.22098022,590,56.78537055,1302,59.1280654
1,New South Wales,10470,Bathurst,14363,63.44641753,13610,61.93683444,27973,62.70286022
1,New South Wales,10500,Bayside (NSW),66483,72.16999566,63822,70.2367196,130305,71.20997667
1,New South Wales,10550,Bega Valley,9733,53.99722607,10130,55.4946861,19863,54.75068221
1,New South Wales,10600,Bellingen,3540,54.73944642,3813,56.37196925,7353,55.57403069
1,New South Wales,10650,Berrigan,2219,51.0349586,2205,51.33876601,4424,51.18593081
1,New South Wales,10750,Blacktown,143578,67.22540348,140715,66.17989418,284293,66.7038165
1,New South Wales,10800,Bland,1627,58.88526963,1487,55.05368382,3114,56.99121523
1,New South Wales,10850,Blayney,2220,58.08477237,2278,59.60230246,4498,58.84353741
1,New South Wales,10900,Blue Mountains,23049,60.27773419,23888,59.41106248,46937,59.83351605
1,New South Wales,10950,Bogan,746,60.84828711,697,58.37520938,1443,59.62809917
1,New South Wales,11150,Bourke,703,60.2915952,770,64.22018349,1473,62.2832981
1,New South Wales,11200,Brewarrina,440,61.02635229,447,64.7826087,887,62.86321758
1,New South Wales,11250,Broken Hill,5221,60.3026103,5241,58.45416016,10462,59.36223332
1,New South Wales,11300,Burwood,15949,75.7384367,15656,73.02238806,31605,74.36820556
1,New South Wales,11350,Byron,11534,64.29925298,12679,66.07775693,24213,65.21844529
1,New South Wales,11400,Cabonne,3987,56.94087404,4111,59.77028206,8098,58.34293948
1,New South Wales,11450,Camden,43276,65.01802885,44542,65.26204744,87818,65.14156857
1,New South Wales,11500,Campbelltown (NSW),59163,64.80278651,60244,64.44104528,119407,64.61977227
1,New South Wales,11520,Canada Bay,30733,69.0799973,31535,67.24454111,62268,68.13809706
1,New South Wales,11570,Canterbury-Bankstown,127326,66.51239082,122798,65.18044343,250124,65.85173855
1,New South Wales,11600,Carrathool,989,66.64420485,763,59.56284153,1752,63.36347197
1,New South Wales,11650,Central Coast (NSW),103410,60.35368274,107122,59.31647785,210532,59.82144379
1,New South Wales,11700,Central Darling,494,55.13392857,561,65.15679443,1055,60.04553216
1,New South Wales,11720,Cessnock,21815,63.39542588,20797,62.67932489,42612,63.04389638
1,New South Wales,11730,Clarence Valley,15794,56.33873154,15222,55.78071751,31016,56.06348173
1,New South Wales,11750,Cobar,1274,61.33846895,1191,59.52023988,2465,60.4462972
1,New South Wales,11800,Coffs Harbour,23109,58.79554244,24163,58.66941848,47272,58.73100672
1,New South Wales,12000,Coolamon,1296,56.20121422,1263,56.30851538,2559,56.25412179
