S/T code,S/T name,LGA_code,LGA name,Males,Male_Percent,Females,Female_Percent,Overall,Overall_Percent
1,New South Wales,10050,Albury,5071,18.0616897,6221,21.13039639,11292,19.63245649
1,New South Wales,10180,Armidale,2541,17.67652174,3013,19.79762139,5554,18.7673177
1,New South Wales,10250,Ballina,5824,25.33605951,6858,28.23151655,12682,26.82374839
1,New South Wales,10300,Balranald,241,20.72226999,239,23.00288739,480,21.79836512
1,New South Wales,10470,Bathurst,3913,17.28509586,4332,19.7142077,8245,18.48157446
1,New South Wales,10500,Bayside (NSW),11958,12.98089449,14025,15.43464624,25983,14.19936935
1,New South Wales,10550,Bega Valley,5354,29.70319001,5459,29.90577408,10813,29.80512142
1,New South Wales,10600,Bellingen,1819,28.12741611,1890,27.94204613,3709,28.03265059
1,New South Wales,10650,Berrigan,1467,33.73965041,1422,33.10826542,2889,33.42589379
1,New South Wales,10750,Blacktown,21171,9.91258422,25013,11.76390359,46184,10.83617627
1,New South Wales,10800,Bland,584,21.13644589,668,24.7315809,1252,22.9136164
1,New South Wales,10850,Blayney,785,20.53898482,767,20.06802721,1552,20.30350602
1,New South Wales,10900,Blue Mountains,8288,21.67477379,9705,24.13698766,17993,22.93679729
1,New South Wales,10950,Bogan,231,18.84176183,250,20.93802345,481,19.87603306
1,New South Wales,11150,Bourke,174,14.92281304,176,14.67889908,350,14.79915433
1,New South Wales,11200,Brewarrina,126,17.47572816,116,16.8115942,242,17.15095677
1,New South Wales,11250,Broken Hill,1859,21.47147147,2196,24.49252733,4055,23.00839764
1,New South Wales,11300,Burwood,2781,13.20638237,3428,15.98880597,6209,14.6100993
1,New South Wales,11350,Byron,3418,19.05452113,3528,18.38649156,6946,18.70926036
1,New South Wales,11400,Cabonne,1531,21.86518138,1471,21.38703111,3002,21.62824207
1,New South Wales,11450,Camden,5854,8.795072115,7080,10.37347438,12934,9.594172582
1,New South Wales,11500,Campbelltown (NSW),11373,12.45714536,13305,14.23192529,24678,13.35505239
1,New South Wales,11520,Canada Bay,6824,15.33862303,8609,18.35764244,15433,16.88789189
1,New South Wales,11570,Canterbury-Bankstown,26646,13.91930294,30242,16.05227259,56888,14.97726609
1,New South Wales,11600,Carrathool,223,15.02695418,206,16.08118657,429,15.51537071
1,New South Wales,11650,Central Coast (NSW),35165,20.52352049,43049,23.83744753,78214,22.22405337
1,New South Wales,11700,Central Darling,241,26.89732143,148,17.18931475,389,22.14001138
1,New South Wales,11720,Cessnock,5433,15.78855599,5828,17.56479807,11261,16.66050214
1,New South Wales,11730,Clarence Valley,7575,27.02076051,7676,28.12854997,15251,27.56719628
1,New South Wales,11750,Cobar,352,16.94752046,345,17.24137931,697,17.09171162
1,New South Wales,11800,Coffs Harbour,8777,22.33106045,9846,23.90676217,18623,23.13732311
1,New South Wales,12000,Coolamon,517,22.4197745,532,23.71823451,1049,23.06001319
1,New South Wales,12150,Coonamble,372,19.03787103,369,19.34976403,741,19.19191919
1,New South Wales,12160,Cootamundra-Gundagai,1608,27.85380218,1706,30.18934702,3314,29.00910364
1,New South Wales,12350,Cowra,1573,24.81463953,1741,27.54746835,3314,26.17900308
1,New South Wales,12380,Cumberland,14074,11.0207118,15422,13.11193865,29496,12.0233325
1,New South Wales,12390,Dubbo,4574,16.12778111,5217,18.50196829,9791,17.31143251
1,New South Wales,12700,Dungog,1120,22.62626263,1072,22.25451526,2192,22.44292004
1,New South Wales,12730,Edward River,1054,24.97630332,1061,25.20190024,2115,25.08896797
1,New South Wales,12750,Eurobodalla,6611,32.68565213,6900,33.35589287,13511,33.02454048
1,New South Wales,12850,Fairfield,16964,16.31028382,19378,18.32712278,36342,17.32700175
1,New South Wales,12870,Federation,1988,30.54701905,1949,30.30632872,3937,30.42739006
1,New South Wales,12900,Forbes,1055,22.7714224,1098,23.52689094,2153,23.15053763
1,New South Wales,12930,Georges River,12369,15.78665237,14900,18.69510665,27269,17.25329166
1,New South Wales,12950,Gilgandra,533,24.68735526,528,24.55813953,1061,24.62288234
1,New South Wales,13010,Glen Innes Severn,1270,28.48811126,1355,29.90509821,2625,29.20235844
1,New South Wales,13310,Goulburn Mulwaree,3199,19.2028333,3584,22.32882686,6783,20.73677774
1,New South Wales,13340,Greater Hume,1329,22.71018455,1197,21.40175219,2526,22.07077326
1,New South Wales,13450,Griffith,2115,15.35613156,2387,17.8681039,4502,16.59295297
1,New South Wales,13550,Gunnedah,1183,17.73081535,1310,19.82445521,2493,18.77259036
1,New South Wales,13660,Gwydir,708,28.83910387,725,29.1750503,1433,29.00809717
1,New South Wales,13800,Hawkesbury,5383,15.76327272,6193,18.21095657,11576,16.98456482
1,New South Wales,13850,Hay,324,22.73684211,362,25.76512456,686,24.24028269
1,New South Wales,13910,Hilltops,2251,23.6003355,2371,24.40053514,4622,24.00415476
1,New South Wales,14000,Hornsby,12779,16.85039162,15319,19.58100059,28098,18.23692819
