age_group,darwin_male%,nt_male%,darwin_female%,nt_female%,perth_male%,wa_male%,perth_female%,wa_female%,adelaide_male%,sa_male%,adelaide_female%,sa_female%,brisbane_male%,qld_male%,brisbane_female%,qld_female%,melb_male%,vic_male%,melb_female%,vic_female%,syd_male%,nsw_male%,syd_female%,nsw_female%
0-4,3.4,3.51,3.25,3.34,3.02,3.03,2.86,2.84,2.75,2.54,2.63,2.38,3.02,2.81,2.85,2.64,2.95,2.77,2.82,2.68,2.98,2.93,2.81,2.76
5-9,3.38,3.88,3.22,3.51,3.26,3.4,3.07,3.19,2.93,2.84,2.78,2.69,3.24,3.08,3.05,2.92,3.11,2.99,2.94,2.86,3.08,3.06,2.92,2.87
10-14,3.31,3.86,3.14,3.66,3.24,3.47,3.06,3.27,3.01,3.17,2.87,2.91,3.37,3.37,3.19,3.2,3.05,3.19,2.91,2.98,3.14,3.28,2.96,3.07
15-19,3.07,3.63,2.78,3.36,3.14,3.08,2.94,2.88,2.99,3.01,2.88,2.7,3.31,3.25,3.11,3.05,3.02,3.09,2.86,2.89,3.1,3.14,2.87,2.93
20-24,3.39,3.82,2.86,3.7,3.34,2.53,3.12,2.21,3.43,2.53,3.22,2.02,3.64,2.91,3.55,2.79,3.68,2.68,3.47,2.42,3.75,2.88,3.4,2.62
25-29,4.51,4.38,4.59,4.8,3.7,3.07,3.54,2.86,3.69,2.66,3.57,2.43,3.91,3.08,3.83,3.12,4.16,2.84,4.02,2.76,4.05,2.87,3.95,2.78
30-34,4.86,4.61,4.92,5.02,3.81,3.36,3.84,3.31,3.58,2.8,3.64,2.62,3.83,3.15,3.89,3.29,4.13,3.01,4.24,3.07,4.03,3,4.07,3.05
35-39,4.36,4.13,4.29,4.33,3.92,3.54,3.91,3.4,3.51,2.79,3.62,2.74,3.7,3.11,3.79,3.27,4.04,2.96,4.06,3.12,3.88,2.96,3.92,3.02
40-44,3.64,3.46,3.69,3.46,3.53,3.35,3.52,3.23,3.2,2.67,3.32,2.59,3.43,3.03,3.52,3.21,3.57,2.77,3.58,2.96,3.55,2.82,3.57,2.91
45-49,3.22,2.86,3.13,2.95,3.1,3.18,3.11,2.99,2.92,2.72,3,2.69,3.09,2.97,3.2,3.11,3.04,2.8,3.11,2.94,3.08,2.78,3.14,2.86
50-54,3.32,2.98,3.03,3.15,3.17,3.55,3.17,3.28,3.07,3.33,3.19,3.27,3.13,3.26,3.23,3.39,3.01,3.11,3.17,3.27,3.02,3.1,3.13,3.2
55-59,2.83,2.6,2.61,2.71,2.8,3.38,2.85,3.15,2.84,3.48,3.03,3.32,2.67,3.05,2.75,3.19,2.62,3.04,2.75,3.24,2.67,2.98,2.75,3.1
60-64,2.55,2.26,2.34,2.35,2.61,3.37,2.72,3.27,2.78,3.94,3.05,3.85,2.46,3.14,2.62,3.3,2.42,3.36,2.58,3.61,2.52,3.33,2.65,3.51
65-69,1.93,1.69,1.77,1.72,2.19,2.94,2.42,2.79,2.39,3.76,2.75,3.53,2.04,2.79,2.25,2.92,2,3.19,2.24,3.37,2.08,3.09,2.3,3.23
70-74,1.5,1.11,1.4,1.02,1.89,2.43,2.09,2.31,2.11,3.42,2.49,3.26,1.78,2.49,2,2.54,1.66,2.9,1.93,3.01,1.73,2.79,1.96,2.87
75-79,1.04,0.56,0.92,0.59,1.51,1.78,1.63,1.72,1.73,2.69,2.05,2.64,1.43,2,1.6,2.05,1.37,2.26,1.59,2.35,1.42,2.26,1.59,2.35
80-84,0.52,0.34,0.53,0.3,0.92,1.02,1.08,1.05,1.05,1.57,1.36,1.64,0.84,1.15,0.99,1.27,0.87,1.34,1.07,1.51,0.88,1.34,1.05,1.53
85+,0.31,0.14,0.38,0.22,0.77,0.76,1.17,1,0.99,1.19,1.57,1.61,0.64,0.87,1.02,1.22,0.78,1.06,1.2,1.59,0.78,1.09,1.2,1.63
